,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"Fancy Feast Wet Classic Chicken Feast Cat Food, Chicken & Tuna Feast Flaked Wet Cat Food",Classic Tender Liver & Chicken Feast Cat Food,0.023126528797,0.111629975539,0.0108961529909,0.471153846154,4.22067499234,0.00831453914697,1.67982695534
1,"Fancy Feast Wet Classic Chicken Feast Cat Food, Classic Tender Liver & Chicken Feast Cat Food",Chicken & Tuna Feast Flaked Wet Cat Food,0.0542583944852,0.0553702468312,0.0108961529909,0.200819672131,3.62685166897,0.00789185229557,1.18199825525
2,"Chicken & Tuna Feast Flaked Wet Cat Food, Classic Tender Liver & Chicken Feast Cat Food",Fancy Feast Wet Classic Chicken Feast Cat Food,0.0211251945742,0.128974872137,0.0108961529909,0.515789473684,3.99914700544,0.00817153372181,1.79885624233
3,Fancy Feast Wet Classic Chicken Feast Cat Food,"Chicken & Tuna Feast Flaked Wet Cat Food, Classic Tender Liver & Chicken Feast Cat Food",0.128974872137,0.0211251945742,0.0108961529909,0.0844827586207,3.99914700544,0.00817153372181,1.06920411892
4,Chicken & Tuna Feast Flaked Wet Cat Food,"Fancy Feast Wet Classic Chicken Feast Cat Food, Classic Tender Liver & Chicken Feast Cat Food",0.0553702468312,0.0542583944852,0.0108961529909,0.196787148594,3.62685166897,0.00789185229557,1.17744829887
5,Classic Tender Liver & Chicken Feast Cat Food,"Fancy Feast Wet Classic Chicken Feast Cat Food, Chicken & Tuna Feast Flaked Wet Cat Food",0.111629975539,0.023126528797,0.0108961529909,0.097609561753,4.22067499234,0.00831453914697,1.08253969656
6,"Fancy Feast Wet Classic Chicken Feast Cat Food, Classic Tender Liver & Chicken Feast Cat Food",Classic Seafood Feast Cat Food,0.0542583944852,0.0671558816989,0.0117856348677,0.217213114754,3.23446151341,0.00814186454647,1.19169615113
7,"Fancy Feast Wet Classic Chicken Feast Cat Food, Classic Seafood Feast Cat Food",Classic Tender Liver & Chicken Feast Cat Food,0.0244607516122,0.111629975539,0.0117856348677,0.481818181818,4.31620789569,0.00905508176355,1.71439829282
8,"Classic Tender Liver & Chicken Feast Cat Food, Classic Seafood Feast Cat Food",Fancy Feast Wet Classic Chicken Feast Cat Food,0.0195686012897,0.128974872137,0.0117856348677,0.602272727273,4.66969043887,0.00926177701844,2.19000603577
9,Fancy Feast Wet Classic Chicken Feast Cat Food,"Classic Tender Liver & Chicken Feast Cat Food, Classic Seafood Feast Cat Food",0.128974872137,0.0195686012897,0.0117856348677,0.0913793103448,4.66969043887,0.00926177701844,1.07903265892
10,Classic Tender Liver & Chicken Feast Cat Food,"Fancy Feast Wet Classic Chicken Feast Cat Food, Classic Seafood Feast Cat Food",0.111629975539,0.0244607516122,0.0117856348677,0.105577689243,4.31620789569,0.00905508176355,1.09069198818
11,Classic Seafood Feast Cat Food,"Fancy Feast Wet Classic Chicken Feast Cat Food, Classic Tender Liver & Chicken Feast Cat Food",0.0671558816989,0.0542583944852,0.0117856348677,0.175496688742,3.23446151341,0.00814186454647,1.1470440356
12,"Fancy Feast Wet Classic Turkey & Giblets Feast Cat Food, Fancy Feast Wet Classic Chicken Feast Cat Food, Classic Chopped Grill Feast Cat Food",Classic Tender Liver & Chicken Feast Cat Food,0.0124527462753,0.111629975539,0.0104514120525,0.839285714286,7.51846186682,0.00906131229037,5.52763570776
13,"Fancy Feast Wet Classic Turkey & Giblets Feast Cat Food, Classic Chopped Grill Feast Cat Food, Classic Tender Liver & Chicken Feast Cat Food",Fancy Feast Wet Classic Chicken Feast Cat Food,0.0151211919057,0.128974872137,0.0104514120525,0.691176470588,5.3590010142,0.00850115825988,2.82046231879
14,"Fancy Feast Wet Classic Turkey & Giblets Feast Cat Food, Fancy Feast Wet Classic Chicken Feast Cat Food, Classic Tender Liver & Chicken Feast Cat Food",Classic Chopped Grill Feast Cat Food,0.0271291972426,0.0522570602624,0.0104514120525,0.385245901639,7.37213114754,0.0090337199573,1.54166184864
15,"Classic Chopped Grill Feast Cat Food, Fancy Feast Wet Classic Chicken Feast Cat Food, Classic Tender Liver & Chicken Feast Cat Food",Fancy Feast Wet Classic Turkey & Giblets Feast Cat Food,0.0146764509673,0.0813875917278,0.0104514120525,0.712121212121,8.74975161451,0.00925693105314,3.19096941821
16,"Fancy Feast Wet Classic Turkey & Giblets Feast Cat Food, Classic Chopped Grill Feast Cat Food","Fancy Feast Wet Classic Chicken Feast Cat Food, Classic Tender Liver & Chicken Feast Cat Food",0.0204580831666,0.0542583944852,0.0104514120525,0.510869565217,9.41549358517,0.00934138930562,1.93351617127
17,"Fancy Feast Wet Classic Turkey & Giblets Feast Cat Food, Fancy Feast Wet Classic Chicken Feast Cat Food","Classic Chopped Grill Feast Cat Food, Classic Tender Liver & Chicken Feast Cat Food",0.0413609072715,0.0262397153658,0.0104514120525,0.252688172043,9.62998906506,0.0093661136184,1.30301735929
