,support,itemsets
0,0.0237797439817,[u'100 Calorie  Per Bag Popcorn']
1,0.0232238538627,[u'Aged White Cheddar Baked Rice & Corn Puffs Gluten Free Lunch Packs']
2,0.0132384202426,[u'Almond Nut & Rice Cracker Snacks']
3,0.0219010412645,[u'Almonds & Sea Salt in Dark Chocolate']
4,0.0149112377305,[u'Apple Cinnamon GoGo Squeez']
5,0.0233113550851,[u'Apple Pie Fruit & Nut Food Bar']
6,0.0183546681902,[u'Backyard Barbeque Potato Chips']
7,0.0242481328783,[u'Baked Aged White Cheddar Rice and Corn Puffs']
8,0.010850151583,[u'Barbecue Potato Chips']
9,0.0184061394975,[u'Blueberry Muffin Bar']
10,0.0183495210595,[u'Boomchickapop Sea Salt Popcorn']
11,0.0100163164044,[u'Caramel Almond and Sea Salt Nut Bar']
12,0.0185193763736,[u'Cheddar Bunnies Snack Crackers']
13,0.0171347982067,[u'Cherry Pie Fruit & Nut Bar']
14,0.0202230766459,[u'Chocolate Chip Cookies']
15,0.0123994379333,[u'Chocolate Peanut Butter']
16,0.0113391290025,[u'Classic Mix Variety']
17,0.0127442956924,[u'Coconut Chia Bar']
18,0.0144171131803,[u'Coconut Cream Pie']
19,0.0122244354884,[u'Corn Chips']
20,0.0269297879897,[u'Crackers Cheddar Bunnies Snack Packs']
21,0.0111538322962,"[u'Crispy Wheat, Crackers']"
22,0.0120854629587,"[u""Crunchy Oats 'n Honey Granola Bars""]"
23,0.0110714782045,[u'Crunchy Peanut Butter Energy Bar']
24,0.0103457327713,[u'Dark Chocolate Nuts & Sea Salt Bars']
25,0.0187973214332,[u'Dark Chocolate Pretzels with Sea Salt']
26,0.0104229397322,[u'Everything Deli Style Pretzel Crisps Crackers']
27,0.0112619220416,[u'Extra Fancy Unsalted Mixed Nuts']
28,0.0110869195967,[u'Fig Newmans Fruit Filled Cookies']
29,0.0180664288692,[u'Gluten Free Chocolate Chip Cookies']
30,0.0249635840501,[u'Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars']
31,0.0164811126038,[u'Gluten Free Peanut Butter Dark Chocolate Chewy With a Crunch Granola Bars']
32,0.0101089647576,[u'Gluten Free Pretzel Sticks']
33,0.0160590478838,[u'Goldfish Cheddar Baked Snack Crackers']
34,0.011925901906,[u'Goldfish Cheddar Baked Snack Crackers Multi Packs']
35,0.0185348177658,[u'Hint Of Sea Salt Almond Nut Thins']
36,0.0119567846904,[u'Iced Oatmeal Cookie Kid Z Bar']
37,0.0145663799715,[u'Jalapeno Potato Chips']
