,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"Sparkling Lemon Water, Pure Sparkling Water, Lime Sparkling Water",Sparkling Water Grapefruit,0.0124479280473,0.134572957123,0.0100231900811,0.805209513024,5.9834422178,0.00834803559375,4.44286092361
1,"Sparkling Lemon Water, Pure Sparkling Water, Sparkling Water Grapefruit",Lime Sparkling Water,0.01542246125,0.0982159849441,0.0100231900811,0.649908592322,6.61713663709,0.0085084578592,2.57585303517
2,"Sparkling Lemon Water, Lime Sparkling Water, Sparkling Water Grapefruit",Pure Sparkling Water,0.0278985839248,0.0524983964306,0.0100231900811,0.359272359778,6.84349207224,0.00855855916239,1.4787899633
3,"Pure Sparkling Water, Lime Sparkling Water, Sparkling Water Grapefruit",Sparkling Lemon Water,0.0154013152794,0.0830120320573,0.0100231900811,0.650800915332,7.83983838491,0.00874469560343,2.62597471816
4,"Sparkling Lemon Water, Pure Sparkling Water","Lime Sparkling Water, Sparkling Water Grapefruit",0.0214208682536,0.0550006696224,0.0100231900811,0.467917077986,8.50747965795,0.00884502798329,1.77603770255
5,"Sparkling Lemon Water, Lime Sparkling Water","Pure Sparkling Water, Sparkling Water Grapefruit",0.0409808910912,0.0290404663391,0.0100231900811,0.244582043344,8.42211142505,0.00883308589285,1.2853275794
6,"Sparkling Lemon Water, Sparkling Water Grapefruit","Pure Sparkling Water, Lime Sparkling Water",0.0451255013357,0.0210261434684,0.0100231900811,0.222118088097,10.5639005285,0.00907437481596,1.2585121746
7,"Pure Sparkling Water, Lime Sparkling Water","Sparkling Lemon Water, Sparkling Water Grapefruit",0.0210261434684,0.0451255013357,0.0100231900811,0.476701307409,10.5639005285,0.00907437481596,1.82472173576
8,"Pure Sparkling Water, Sparkling Water Grapefruit","Sparkling Lemon Water, Lime Sparkling Water",0.0290404663391,0.0409808910912,0.0100231900811,0.345145631068,8.42211142505,0.00883308589285,1.46447691946
9,"Lime Sparkling Water, Sparkling Water Grapefruit","Sparkling Lemon Water, Pure Sparkling Water",0.0550006696224,0.0214208682536,0.0100231900811,0.182237600923,8.50747965795,0.00884502798329,1.19665459411
10,Sparkling Lemon Water,"Pure Sparkling Water, Lime Sparkling Water, Sparkling Water Grapefruit",0.0830120320573,0.0154013152794,0.0100231900811,0.120743822705,7.83983838491,0.00874469560343,1.11980866344
11,Pure Sparkling Water,"Sparkling Lemon Water, Lime Sparkling Water, Sparkling Water Grapefruit",0.0524983964306,0.0278985839248,0.0100231900811,0.190923737916,6.84349207224,0.00855855916239,1.20149541104
12,Lime Sparkling Water,"Sparkling Lemon Water, Pure Sparkling Water, Sparkling Water Grapefruit",0.0982159849441,0.01542246125,0.0100231900811,0.102052533372,6.61713663709,0.0085084578592,1.09647565736
13,Sparkling Water Grapefruit,"Sparkling Lemon Water, Pure Sparkling Water, Lime Sparkling Water",0.134572957123,0.0124479280473,0.0100231900811,0.0744814582024,5.9834422178,0.00834803559375,1.06702570219
14,"Sparkling Lemon Water, Sparkling Water Berry",Sparkling Water Grapefruit,0.0218226416956,0.134572957123,0.0153167313968,0.701873385013,5.21556039206,0.0123799939716,2.90288420883
15,"Sparkling Lemon Water, Sparkling Water Grapefruit",Sparkling Water Berry,0.0451255013357,0.0513494653594,0.0153167313968,0.339425179631,6.61010153184,0.0129995610292,1.43609853932
16,"Sparkling Water Berry, Sparkling Water Grapefruit",Sparkling Lemon Water,0.0308801657844,0.0830120320573,0.0153167313968,0.496005478201,5.97510343873,0.0127533060848,1.81944034763
17,Sparkling Lemon Water,"Sparkling Water Berry, Sparkling Water Grapefruit",0.0830120320573,0.0308801657844,0.0153167313968,0.184512184767,5.97510343873,0.0127533060848,1.18839278296
18,Sparkling Water Berry,"Sparkling Lemon Water, Sparkling Water Grapefruit",0.0513494653594,0.0451255013357,0.0153167313968,0.298284145504,6.61010153184,0.0129995610292,1.36077087691
19,Sparkling Water Grapefruit,"Sparkling Lemon Water, Sparkling Water Berry",0.134572957123,0.0218226416956,0.0153167313968,0.113817305678,5.21556039206,0.0123799939716,1.10381004343
20,"Peach Pear Flavored Sparkling Water, Lime Sparkling Water",Sparkling Water Grapefruit,0.0236975844253,0.134572957123,0.0180727562363,0.762641284949,5.66712139834,0.0148837022235,3.64607232851
21,"Peach Pear Flavored Sparkling Water, Sparkling Water Grapefruit",Lime Sparkling Water,0.0322687511895,0.0982159849441,0.0180727562363,0.560069899519,5.70243122684,0.0149034490553,2.04983476709
22,"Lime Sparkling Water, Sparkling Water Grapefruit",Peach Pear Flavored Sparkling Water,0.0550006696224,0.0548385505142,0.0180727562363,0.328591567346,5.99198126619,0.0150565992369,1.40772948852
23,Peach Pear Flavored Sparkling Water,"Lime Sparkling Water, Sparkling Water Grapefruit",0.0548385505142,0.0550006696224,0.0180727562363,0.329562982005,5.99198126619,0.0150565992369,1.40952737545
24,Lime Sparkling Water,"Peach Pear Flavored Sparkling Water, Sparkling Water Grapefruit",0.0982159849441,0.0322687511895,0.0180727562363,0.184010334434,5.70243122684,0.0149034490553,1.18596017774
25,Sparkling Water Grapefruit,"Peach Pear Flavored Sparkling Water, Lime Sparkling Water",0.134572957123,0.0236975844253,0.0180727562363,0.134297087785,5.66712139834,0.0148837022235,1.12775688033
26,"Peach Pear Flavored Sparkling Water, Sparkling Lemon Water",Sparkling Water Grapefruit,0.0200393315054,0.134572957123,0.0145202331696,0.724586704186,5.38434110148,0.0118234810701,3.14228490792
27,"Peach Pear Flavored Sparkling Water, Sparkling Water Grapefruit",Sparkling Lemon Water,0.0322687511895,0.0830120320573,0.0145202331696,0.4499781564,5.42063777079,0.0118415385614,1.66718463751
28,"Sparkling Lemon Water, Sparkling Water Grapefruit",Peach Pear Flavored Sparkling Water,0.0451255013357,0.0548385505142,0.0145202331696,0.321774445486,5.86766868323,0.0120456160851,1.39357982488
29,Peach Pear Flavored Sparkling Water,"Sparkling Lemon Water, Sparkling Water Grapefruit",0.0548385505142,0.0451255013357,0.0145202331696,0.264781491003,5.86766868323,0.0120456160851,1.29876286706
30,Sparkling Lemon Water,"Peach Pear Flavored Sparkling Water, Sparkling Water Grapefruit",0.0830120320573,0.0322687511895,0.0145202331696,0.174917211514,5.42063777079,0.0118415385614,1.17288987519
31,Sparkling Water Grapefruit,"Peach Pear Flavored Sparkling Water, Sparkling Lemon Water",0.134572957123,0.0200393315054,0.0145202331696,0.107898596271,5.38434110148,0.0118234810701,1.09848573761
32,"Peach Pear Flavored Sparkling Water, Sparkling Lemon Water, Lime Sparkling Water",Sparkling Water Grapefruit,0.0132021343333,0.134572957123,0.0106998611415,0.810464495462,6.02249153759,0.00892321088389,4.56604183467
33,"Peach Pear Flavored Sparkling Water, Sparkling Lemon Water, Sparkling Water Grapefruit",Lime Sparkling Water,0.0145202331696,0.0982159849441,0.0106998611415,0.736893203883,7.50278281385,0.00927374213909,3.42744478047
34,"Peach Pear Flavored Sparkling Water, Lime Sparkling Water, Sparkling Water Grapefruit",Sparkling Lemon Water,0.0180727562363,0.0830120320573,0.0106998611415,0.592043681747,7.13202251619,0.00919960492141,2.24776018146
35,"Sparkling Lemon Water, Lime Sparkling Water, Sparkling Water Grapefruit",Peach Pear Flavored Sparkling Water,0.0278985839248,0.0548385505142,0.0106998611415,0.383527033855,6.993748563,0.00916994323762,1.53317582667
36,"Peach Pear Flavored Sparkling Water, Sparkling Lemon Water","Lime Sparkling Water, Sparkling Water Grapefruit",0.0200393315054,0.0550006696224,0.0106998611415,0.533943017939,9.70793667794,0.00959768448988,2.02764761982
37,"Peach Pear Flavored Sparkling Water, Lime Sparkling Water","Sparkling Lemon Water, Sparkling Water Grapefruit",0.0236975844253,0.0451255013357,0.0106998611415,0.451516954194,10.0058047186,0.00963049576382,1.74093712826
38,"Peach Pear Flavored Sparkling Water, Sparkling Water Grapefruit","Sparkling Lemon Water, Lime Sparkling Water",0.0322687511895,0.0409808910912,0.0106998611415,0.331585845347,8.09123073018,0.00937745896332,1.43476780411
39,"Sparkling Lemon Water, Lime Sparkling Water","Peach Pear Flavored Sparkling Water, Sparkling Water Grapefruit",0.0409808910912,0.0322687511895,0.0106998611415,0.261093911249,8.09123073018,0.00937745896332,1.30968097779
40,"Sparkling Lemon Water, Sparkling Water Grapefruit","Peach Pear Flavored Sparkling Water, Lime Sparkling Water",0.0451255013357,0.0236975844253,0.0106998611415,0.237113402062,10.0058047186,0.00963049576382,1.27974776096
41,"Lime Sparkling Water, Sparkling Water Grapefruit","Peach Pear Flavored Sparkling Water, Sparkling Lemon Water",0.0550006696224,0.0200393315054,0.0106998611415,0.194540561323,9.70793667794,0.00959768448988,1.21664806623
42,Peach Pear Flavored Sparkling Water,"Sparkling Lemon Water, Lime Sparkling Water, Sparkling Water Grapefruit",0.0548385505142,0.0278985839248,0.0106998611415,0.195115681234,6.993748563,0.00916994323762,1.20775295705
43,Sparkling Lemon Water,"Peach Pear Flavored Sparkling Water, Lime Sparkling Water, Sparkling Water Grapefruit",0.0830120320573,0.0180727562363,0.0106998611415,0.128895304407,7.13202251619,0.00919960492141,1.12722069888
44,Lime Sparkling Water,"Peach Pear Flavored Sparkling Water, Sparkling Lemon Water, Sparkling Water Grapefruit",0.0982159849441,0.0145202331696,0.0106998611415,0.108942155878,7.50278281385,0.00927374213909,1.10596609786
45,Sparkling Water Grapefruit,"Peach Pear Flavored Sparkling Water, Sparkling Lemon Water, Lime Sparkling Water",0.134572957123,0.0132021343333,0.0106998611415,0.0795097423004,6.02249153759,0.00892321088389,1.07203510022
46,"Sparkling Lemon Water, Lime Sparkling Water",Sparkling Water Grapefruit,0.0409808910912,0.134572957123,0.0278985839248,0.680770553836,5.05874707957,0.0223836642252,2.7109875147
47,"Sparkling Lemon Water, Sparkling Water Grapefruit",Lime Sparkling Water,0.0451255013357,0.0982159849441,0.0278985839248,0.618244298657,6.29474213397,0.0234665383651,2.36220182667
48,"Lime Sparkling Water, Sparkling Water Grapefruit",Sparkling Lemon Water,0.0550006696224,0.0830120320573,0.0278985839248,0.507240804819,6.11044919932,0.023332866575,1.86092512714
49,Sparkling Lemon Water,"Lime Sparkling Water, Sparkling Water Grapefruit",0.0830120320573,0.0550006696224,0.0278985839248,0.336078797656,6.11044919932,0.023332866575,1.42336067449
50,Lime Sparkling Water,"Sparkling Lemon Water, Sparkling Water Grapefruit",0.0982159849441,0.0451255013357,0.0278985839248,0.284053394574,6.29474213397,0.0234665383651,1.33372306179
51,Sparkling Water Grapefruit,"Sparkling Lemon Water, Lime Sparkling Water",0.134572957123,0.0409808910912,0.0278985839248,0.207311963126,5.05874707957,0.0223836642252,1.20983169204
52,"Sparkling Lemon Water, Pure Sparkling Water",Sparkling Water Grapefruit,0.0214208682536,0.134572957123,0.01542246125,0.719973675551,5.35006208486,0.012539791665,3.0905203094
53,"Sparkling Lemon Water, Sparkling Water Grapefruit",Pure Sparkling Water,0.0451255013357,0.0524983964306,0.01542246125,0.341768197438,6.51006927212,0.0130534447918,1.43946494211
54,"Pure Sparkling Water, Sparkling Water Grapefruit",Sparkling Lemon Water,0.0290404663391,0.0830120320573,0.01542246125,0.531067961165,6.39748176263,0.0130117531273,1.95548158795
55,Sparkling Lemon Water,"Pure Sparkling Water, Sparkling Water Grapefruit",0.0830120320573,0.0290404663391,0.01542246125,0.185785853783,6.39748176263,0.0130117531273,1.19251125539
56,Pure Sparkling Water,"Sparkling Lemon Water, Sparkling Water Grapefruit",0.0524983964306,0.0451255013357,0.01542246125,0.293770139635,6.51006927212,0.0130534447918,1.3520732445
57,Sparkling Water Grapefruit,"Sparkling Lemon Water, Pure Sparkling Water",0.134572957123,0.0214208682536,0.01542246125,0.114602975068,5.35006208486,0.012539791665,1.10524330237
