,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,Nutri-Grain Soft Baked Strawberry Cereal Breakfast Bars,"u""Kelloggs Nutri-Grain Apple Cinnamon Cereal""",0.0288968925371,0.020856018092,0.0103023703828,0.35652173913,17.0944298935,0.00969969626922,1.52164267459
1,"u""Kelloggs Nutri-Grain Apple Cinnamon Cereal""",Nutri-Grain Soft Baked Strawberry Cereal Breakfast Bars,0.020856018092,0.0288968925371,0.0103023703828,0.493975903614,17.0944298935,0.00969969626922,1.91908471237
2,"Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free, Vanilla Blueberry Clusters With Flax Seeds Granola",Healthy Grains Fiber Cinnamon Oat Clusters,0.0154954351286,0.0360164167853,0.0104698886004,0.675675675676,18.7602137021,0.00991179855052,2.97228271491
3,"Healthy Grains Fiber Cinnamon Oat Clusters, Vanilla Blueberry Clusters With Flax Seeds Granola",Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free,0.0195996314599,0.0301532791691,0.0104698886004,0.534188034188,17.7157526116,0.00987889544136,2.08205626307
4,"Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free, Healthy Grains Fiber Cinnamon Oat Clusters",Vanilla Blueberry Clusters With Flax Seeds Granola,0.0128989027557,0.0468213418209,0.0104698886004,0.811688311688,17.3358618126,0.00986594466535,5.06170735723
5,Vanilla Blueberry Clusters With Flax Seeds Granola,"Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free, Healthy Grains Fiber Cinnamon Oat Clusters",0.0468213418209,0.0128989027557,0.0104698886004,0.223613595707,17.3358618126,0.00986594466535,1.27140440866
6,Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free,"Healthy Grains Fiber Cinnamon Oat Clusters, Vanilla Blueberry Clusters With Flax Seeds Granola",0.0301532791691,0.0195996314599,0.0104698886004,0.347222222222,17.7157526116,0.00987889544136,1.50188992627
7,Healthy Grains Fiber Cinnamon Oat Clusters,"Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free, Vanilla Blueberry Clusters With Flax Seeds Granola",0.0360164167853,0.0154954351286,0.0104698886004,0.290697674419,18.7602137021,0.00991179855052,1.38799004228
8,Cinnamon Toast Crunch,Cherrios Honey Nut,0.0287293743195,0.0377753580702,0.0176731719575,0.615160349854,16.2846993723,0.0165879095554,2.50032615289
9,Cherrios Honey Nut,Cinnamon Toast Crunch,0.0377753580702,0.0287293743195,0.0176731719575,0.467849223947,16.2846993723,0.0165879095554,1.82517938409
10,Maple Quinoa Cluster With Chia Seeds,Peanut Butter Whole Grain Clusters,0.0262166010554,0.0359326576765,0.010218611274,0.389776357827,10.8474124385,0.00927657912281,1.57985904789
11,Peanut Butter Whole Grain Clusters,Maple Quinoa Cluster With Chia Seeds,0.0359326576765,0.0262166010554,0.010218611274,0.284382284382,10.8474124385,0.00927657912281,1.36075921221
12,Frosted Flakes,Cereal,0.0356813803501,0.0941452382947,0.0154954351286,0.434272300469,4.61279092109,0.0121362030728,1.60122045015
13,Cereal,Frosted Flakes,0.0941452382947,0.0356813803501,0.0154954351286,0.164590747331,4.61279092109,0.0121362030728,1.1543068461
14,Honey Nut Cheerios,Honey Bunches of Oats Honey Roasted with Almonds Cereal,0.137951252199,0.044224809448,0.0101348521652,0.0734669095325,1.66121483505,0.00403398432357,1.0315607725
15,Honey Bunches of Oats Honey Roasted with Almonds Cereal,Honey Nut Cheerios,0.044224809448,0.137951252199,0.0101348521652,0.229166666667,1.66121483505,0.00403398432357,1.11833351066
16,Raisin Bran,Frosted Flakes,0.0240388642265,0.0356813803501,0.0127313845381,0.529616724739,14.8429438419,0.0118736446804,2.05006995437
17,Frosted Flakes,Raisin Bran,0.0356813803501,0.0240388642265,0.0127313845381,0.356807511737,14.8429438419,0.0118736446804,1.51737023299
18,with Crispy Almonds Cereal,Cereal,0.022531200268,0.0941452382947,0.0107211659268,0.475836431227,5.05428038471,0.0085999607085,1.72819099928
19,Cereal,with Crispy Almonds Cereal,0.0941452382947,0.022531200268,0.0107211659268,0.113879003559,5.05428038471,0.0085999607085,1.10308728002
20,Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free,Healthy Grains Fiber Cinnamon Oat Clusters,0.0301532791691,0.0360164167853,0.0128989027557,0.427777777778,11.8772997416,0.0118128896857,1.68463150465
21,Healthy Grains Fiber Cinnamon Oat Clusters,Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free,0.0360164167853,0.0301532791691,0.0128989027557,0.358139534884,11.8772997416,0.0118128896857,1.51099307956
22,Vanilla Blueberry Clusters With Flax Seeds Granola,Healthy Grains Fiber Cinnamon Oat Clusters,0.0468213418209,0.0360164167853,0.0195996314599,0.418604651163,11.6226068145,0.0179132944985,1.65805176313
23,Healthy Grains Fiber Cinnamon Oat Clusters,Vanilla Blueberry Clusters With Flax Seeds Granola,0.0360164167853,0.0468213418209,0.0195996314599,0.544186046512,11.6226068145,0.0179132944985,2.09115726029
24,Frosted Flakes,with Crispy Almonds Cereal,0.0356813803501,0.022531200268,0.0118100343412,0.330985915493,14.6901146657,0.0110060900147,1.46105862697
25,with Crispy Almonds Cereal,Frosted Flakes,0.022531200268,0.0356813803501,0.0118100343412,0.524163568773,14.6901146657,0.0110060900147,2.02657584911
26,Maple Quinoa Cluster With Chia Seeds,Healthy Grains Fiber Cinnamon Oat Clusters,0.0262166010554,0.0360164167853,0.0116425161236,0.444089456869,12.3301954083,0.0106982880933,1.73406242268
27,Healthy Grains Fiber Cinnamon Oat Clusters,Maple Quinoa Cluster With Chia Seeds,0.0360164167853,0.0262166010554,0.0116425161236,0.323255813953,12.3301954083,0.0106982880933,1.43892392284
28,Maple Quinoa Cluster With Chia Seeds,Vanilla Blueberry Clusters With Flax Seeds Granola,0.0262166010554,0.0468213418209,0.0134852165173,0.514376996805,10.9859516366,0.0122577200779,1.96279552638
29,Vanilla Blueberry Clusters With Flax Seeds Granola,Maple Quinoa Cluster With Chia Seeds,0.0468213418209,0.0262166010554,0.0134852165173,0.28801431127,10.9859516366,0.0122577200779,1.36770080405
