,support,itemsets
0,0.0236174970478,100% Pure Pumpkin
1,0.0108791236401,60% Cacao Bittersweet Premium Baking Chips
2,0.0176126227984,Active Dry Yeast
3,0.0274741840657,All Purpose Flour
4,0.0176377477953,Almond Meal/Flour
5,0.0227004346624,Apple Cider Vinegar
6,0.0101253737343,Apricot Preserves
7,0.0198487475189,Baking Powder
8,0.025376246828,Cane Sugar
9,0.0236049345494,Canola Oil
10,0.0220471847441,Cinnamon Rolls with Icing
11,0.0101630612296,Classic Almond Butter
12,0.0190196226225,Classic Yellow Mustard
13,0.0104394361951,Coarse Kosher Salt
14,0.0244968719379,Creamy Almond Butter
15,0.0350744956157,Creamy Peanut Butter
16,0.0176503102937,Crescent Rolls
17,0.0111554986056,Crunchy Almond Butter
18,0.0100751237406,Dark Brown Sugar
19,0.0155272480591,Dijon Mustard
20,0.0106153111731,Distilled White Vinegar
21,0.0881008014874,Extra Virgin Olive Oil
22,0.0155021230622,Flaky Biscuits
23,0.0254767468154,Garlic Powder
24,0.0128263108967,Ground Black Pepper
25,0.0158789980151,Ground Cumin
26,0.0135800608025,Hazelnut Spread With Skim Milk & Cocoa
27,0.0201376849828,Italian Extra Virgin Olive Oil
28,0.0522851184644,Light Brown Sugar
29,0.0200371849954,Mild Salsa
30,0.0152006230999,Onion Powder
31,0.0173111228361,Oregano
32,0.0122358734705,Organic Balsamic Vinegar Of Modena
33,0.0165824979272,Organic Cane Sugar
34,0.0118966860129,Organic Canola Oil
35,0.0244968719379,Organic Creamy Peanut Butter
36,0.031079621115,Organic Dijon Mustard
37,0.0186929976634,Organic Distilled White Vinegar
38,0.0154267480717,Organic Extra Virgin Olive Oil
39,0.012424310947,Organic Garlic Powder
40,0.0144217481973,Organic Ground Cumin
41,0.0310042461245,Organic Ketchup
42,0.0190949976131,Organic Mayonnaise
43,0.0179643727545,Organic Medium Salsa
44,0.013391623326,Organic Mountain Forest Amber Honey
45,0.0102258737218,Organic Oregano
46,0.0177508102811,Organic Powdered Sugar
47,0.0114821235647,Organic Pumpkin
48,0.0192457475943,Organic Raw Unfiltered Apple Cider Vinegar
49,0.0122735609658,Organic Shredded Unsweetened Coconut
50,0.01912012261,Organic Strawberry Fruit Spread
51,0.0157659355293,Organic Tahini
52,0.0104143111982,Organic Turmeric
53,0.0315821210522,Organic Unbleached All-Purpose Flour
54,0.0368206828974,Organic Vanilla Extract
55,0.0179141227607,Organic Yellow Mustard
56,0.0104519986935,Original Crescent Rolls
57,0.0259289967589,Original Hot Sauce
58,0.0122233109721,Original Sauce
59,0.0202633099671,Panko Bread Crumbs
60,0.0136428732946,Paprika
61,0.0297982462752,Premium Pure Cane Granulated Sugar
62,0.0303133087108,Pure Baking Soda
63,0.0164945604382,Pure Granulated Cane Sugar
64,0.0170347478707,Pure Vanilla Extract
65,0.0177382477827,Ranch Dressing
66,0.0192457475943,Raspberry Preserves
67,0.0273736840783,Real Mayonnaise
68,0.0140951232381,Sea Salt Fine Crystals
69,0.0164066229492,Semi-Sweet Chocolate Premium Baking Chips
70,0.010992186126,Semi-Sweet Mini Chocolate Chips
71,0.0167458104068,Sliced Black Olives
72,0.0215195598101,Squeeze Tomato Ketchup
73,0.0278384965202,Strawberry Preserves
74,0.0101630612296,Toasted Sesame Seed Oil
75,0.0174995603126,Toll House Semi-Sweet Chocolate Morsels
76,0.030551996181,Tomato Ketchup
77,0.0194090600739,Unbleached All-Purpose Flour
78,0.0230270596216,Unrefined Virgin Coconut Oil
79,0.0103514987061,Unsweetened Cocoa Powder
