,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,Large Lemon,Limes,0.112539006446,0.106699769947,0.0240594036854,0.213787240933,2.00363356958,0.0120515175875,1.13620673253
1,Limes,Large Lemon,0.106699769947,0.112539006446,0.0240594036854,0.225486931202,2.00363356958,0.0120515175875,1.14583088305
2,"Organic Strawberries, Organic Baby Spinach",Bag of Organic Bananas,0.0335585267522,0.215105118101,0.0102945129034,0.306762957131,1.42610719744,0.00307590204312,1.13221716868
3,"Organic Strawberries, Bag of Organic Bananas",Organic Baby Spinach,0.0503765118557,0.169815274583,0.0102945129034,0.204351443247,1.2033749246,0.00173981171016,1.04340631095
4,"Organic Baby Spinach, Bag of Organic Bananas",Organic Strawberries,0.0419670637542,0.176930961438,0.0102945129034,0.245299813295,1.38641542047,0.0028692399647,1.09059074459
5,Organic Strawberries,"Organic Baby Spinach, Bag of Organic Bananas",0.176930961438,0.0419670637542,0.0102945129034,0.0581837843405,1.38641542047,0.0028692399647,1.01721856166
6,Organic Baby Spinach,"Organic Strawberries, Bag of Organic Bananas",0.169815274583,0.0503765118557,0.0102945129034,0.0606218311559,1.2033749246,0.00173981171016,1.01090649074
7,Bag of Organic Bananas,"Organic Strawberries, Organic Baby Spinach",0.215105118101,0.0335585267522,0.0102945129034,0.0478580565368,1.42610719744,0.00307590204312,1.01501827525
8,Organic Blueberries,Bag of Organic Bananas,0.0667899687948,0.215105118101,0.0178994601736,0.267996235012,1.2458849765,0.00353259604797,1.07225525255
9,Bag of Organic Bananas,Organic Blueberries,0.215105118101,0.0667899687948,0.0178994601736,0.0832126187027,1.2458849765,0.00353259604797,1.01791325911
10,Michigan Organic Kale,Organic Baby Spinach,0.0517823383368,0.169815274583,0.012472040635,0.240855106888,1.41833593875,0.00367860863185,1.09357875282
11,Organic Baby Spinach,Michigan Organic Kale,0.169815274583,0.0517823383368,0.012472040635,0.0734447514553,1.41833593875,0.00367860863185,1.02337951585
