,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"Peanut Butter Ice Cream Cup, Cookie Dough Ice Cream Chocolate Chip",Oatneal Cookie Ice Cream,0.0640776699029,0.073786407767,0.0446601941748,0.69696969697,9.44577352472,0.0399321330945,3.05650485437
1,"Peanut Butter Ice Cream Cup, Oatneal Cookie Ice Cream",Cookie Dough Ice Cream Chocolate Chip,0.0601941747573,0.0834951456311,0.0446601941748,0.741935483871,8.88597149287,0.0396342727873,3.55145631068
2,"Cookie Dough Ice Cream Chocolate Chip, Oatneal Cookie Ice Cream",Peanut Butter Ice Cream Cup,0.0563106796117,0.0912621359223,0.0446601941748,0.793103448276,8.69038884813,0.0395211612782,4.39223300971
3,Peanut Butter Ice Cream Cup,"Cookie Dough Ice Cream Chocolate Chip, Oatneal Cookie Ice Cream",0.0912621359223,0.0563106796117,0.0446601941748,0.489361702128,8.69038884813,0.0395211612782,1.84805825243
4,Cookie Dough Ice Cream Chocolate Chip,"Peanut Butter Ice Cream Cup, Oatneal Cookie Ice Cream",0.0834951456311,0.0601941747573,0.0446601941748,0.53488372093,8.88597149287,0.0396342727873,2.02058252427
5,Oatneal Cookie Ice Cream,"Peanut Butter Ice Cream Cup, Cookie Dough Ice Cream Chocolate Chip",0.073786407767,0.0640776699029,0.0446601941748,0.605263157895,9.44577352472,0.0399321330945,2.37100323625
6,Eat Your Colors Reds Puree Baby Food,"Stage 2 Eat Your Colors Orange Organic Peach, Pumpkin, Carrot & Cinnamon Baby Food",0.174757281553,0.0407766990291,0.0252427184466,0.144444444444,3.54232804233,0.0181166933736,1.12117009204
7,"Stage 2 Eat Your Colors Orange Organic Peach, Pumpkin, Carrot & Cinnamon Baby Food",Eat Your Colors Reds Puree Baby Food,0.0407766990291,0.174757281553,0.0252427184466,0.619047619048,3.54232804233,0.0181166933736,2.16626213592
8,Organic Nondairy Strawberry Cashew Yogurt,Organic Nondairy Lemon Cashew Yogurt,0.267961165049,0.18640776699,0.172815533981,0.644927536232,3.45976751208,0.122865491564,2.29134139093
9,Organic Nondairy Lemon Cashew Yogurt,Organic Nondairy Strawberry Cashew Yogurt,0.18640776699,0.267961165049,0.172815533981,0.927083333333,3.45976751208,0.122865491564,10.0393897365
10,Organic Mango Yogurt,Whole Milk Yogurt Organic Indonesian Vanilla Bean,0.0543689320388,0.0349514563107,0.0252427184466,0.464285714286,13.2837301587,0.0233424450938,1.80142394822
11,Whole Milk Yogurt Organic Indonesian Vanilla Bean,Organic Mango Yogurt,0.0349514563107,0.0543689320388,0.0252427184466,0.722222222222,13.2837301587,0.0233424450938,3.40427184466
12,"Stage 2 Eat Your Colors Organic, Green: Pea, Kiwi, Pear & Avocado Baby Food","Stage 2 Eat Your Colors Orange Organic Peach, Pumpkin, Carrot & Cinnamon Baby Food",0.184466019417,0.0407766990291,0.0252427184466,0.136842105263,3.35588972431,0.0177208030917,1.11129528771
13,"Stage 2 Eat Your Colors Orange Organic Peach, Pumpkin, Carrot & Cinnamon Baby Food","Stage 2 Eat Your Colors Organic, Green: Pea, Kiwi, Pear & Avocado Baby Food",0.0407766990291,0.184466019417,0.0252427184466,0.619047619048,3.35588972431,0.0177208030917,2.14077669903
14,"Organic Cashew Nondairy Vanilla Yogurt, Organic Plain Unsweetened Nondairy Cashew Yogurt",Organic Nondairy Lemon Cashew Yogurt,0.0621359223301,0.18640776699,0.0330097087379,0.53125,2.84993489583,0.0214270902064,1.73566343042
15,"Organic Cashew Nondairy Vanilla Yogurt, Organic Nondairy Lemon Cashew Yogurt",Organic Plain Unsweetened Nondairy Cashew Yogurt,0.145631067961,0.108737864078,0.0330097087379,0.226666666667,2.08452380952,0.0171740974644,1.15249414128
