,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,Maximum Strength Zinc Oxide Diaper Rash Paste,Prevent Original Ointment,0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
1,Prevent Original Ointment,Maximum Strength Zinc Oxide Diaper Rash Paste,0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
2,"Margaritas Strawberry Lime, Hazelnut Liquid Coffee Creamer",93/7 Ground Beef,0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
3,"Margaritas Strawberry Lime, 93/7 Ground Beef",Hazelnut Liquid Coffee Creamer,0.0666666666667,0.133333333333,0.0666666666667,1.0,7.5,0.0577777777778,inf
4,"Hazelnut Liquid Coffee Creamer, 93/7 Ground Beef",Margaritas Strawberry Lime,0.0666666666667,0.2,0.0666666666667,1.0,5.0,0.0533333333333,inf
5,Margaritas Strawberry Lime,"Hazelnut Liquid Coffee Creamer, 93/7 Ground Beef",0.2,0.0666666666667,0.0666666666667,0.333333333333,5.0,0.0533333333333,1.4
6,Hazelnut Liquid Coffee Creamer,"Margaritas Strawberry Lime, 93/7 Ground Beef",0.133333333333,0.0666666666667,0.0666666666667,0.5,7.5,0.0577777777778,1.86666666667
7,93/7 Ground Beef,"Margaritas Strawberry Lime, Hazelnut Liquid Coffee Creamer",0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
8,"Organic Cherry/Watermelon Fruity Hearts Treat Packs, Rescue Remedy for Kids, Roasted Almond Butter",Gift Sleeve Valentine Chocolate Hearts,0.0666666666667,0.133333333333,0.0666666666667,1.0,7.5,0.0577777777778,inf
9,"Organic Cherry/Watermelon Fruity Hearts Treat Packs, Rescue Remedy for Kids, Gift Sleeve Valentine Chocolate Hearts",Roasted Almond Butter,0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
10,"Organic Cherry/Watermelon Fruity Hearts Treat Packs, Roasted Almond Butter, Gift Sleeve Valentine Chocolate Hearts",Rescue Remedy for Kids,0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
11,"Roasted Almond Butter, Rescue Remedy for Kids, Gift Sleeve Valentine Chocolate Hearts",Organic Cherry/Watermelon Fruity Hearts Treat Packs,0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
12,"Organic Cherry/Watermelon Fruity Hearts Treat Packs, Rescue Remedy for Kids","Roasted Almond Butter, Gift Sleeve Valentine Chocolate Hearts",0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
13,"Organic Cherry/Watermelon Fruity Hearts Treat Packs, Roasted Almond Butter","Rescue Remedy for Kids, Gift Sleeve Valentine Chocolate Hearts",0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
14,"Organic Cherry/Watermelon Fruity Hearts Treat Packs, Gift Sleeve Valentine Chocolate Hearts","Roasted Almond Butter, Rescue Remedy for Kids",0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
15,"Roasted Almond Butter, Rescue Remedy for Kids","Organic Cherry/Watermelon Fruity Hearts Treat Packs, Gift Sleeve Valentine Chocolate Hearts",0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
16,"Rescue Remedy for Kids, Gift Sleeve Valentine Chocolate Hearts","Organic Cherry/Watermelon Fruity Hearts Treat Packs, Roasted Almond Butter",0.0666666666667,0.0666666666667,0.0666666666667,1.0,15.0,0.0622222222222,inf
