,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset([u'Original Nooks & Crannies English Muffins']),frozenset([u'100% Whole Wheat Bread']),0.0952855718559,0.143355647344,0.0153112092295,0.160687593423,1.12090173216,0.00165148439354,1.02065017262
1,frozenset([u'100% Whole Wheat Bread']),frozenset([u'Original Nooks & Crannies English Muffins']),0.143355647344,0.0952855718559,0.0153112092295,0.106805762543,1.12090173216,0.00165148439354,1.01289774408
2,frozenset([u'Deluxe Everything Bagels']),frozenset([u'Deluxe Blueberry Bagels']),0.0375302663438,0.0274889616864,0.0128899017234,0.343453510436,12.494233662,0.0118582336698,1.48125236182
3,frozenset([u'Deluxe Blueberry Bagels']),frozenset([u'Deluxe Everything Bagels']),0.0274889616864,0.0375302663438,0.0128899017234,0.468911917098,12.494233662,0.0118582336698,1.81226008386
4,"frozenset([u'Sliced Blueberry Bagels', u'Presliced Everything Bagels'])",frozenset([u'Plain Pre-Sliced Bagels']),0.0170915823957,0.0793334282866,0.0111807434838,0.654166666667,8.24578845003,0.00982480965754,2.66216840014
5,"frozenset([u'Sliced Blueberry Bagels', u'Plain Pre-Sliced Bagels'])",frozenset([u'Presliced Everything Bagels']),0.0140293405498,0.0773394103404,0.0111807434838,0.796954314721,10.3046339662,0.0100957225582,4.54410340407
6,"frozenset([u'Presliced Everything Bagels', u'Plain Pre-Sliced Bagels'])",frozenset([u'Sliced Blueberry Bagels']),0.0309784930922,0.0244979347671,0.0111807434838,0.36091954023,14.7326516974,0.0104218343809,1.52641510207
7,frozenset([u'Sliced Blueberry Bagels']),"frozenset([u'Presliced Everything Bagels', u'Plain Pre-Sliced Bagels'])",0.0244979347671,0.0309784930922,0.0111807434838,0.456395348837,14.7326516974,0.0104218343809,1.78258501806
8,frozenset([u'Presliced Everything Bagels']),"frozenset([u'Sliced Blueberry Bagels', u'Plain Pre-Sliced Bagels'])",0.0773394103404,0.0140293405498,0.0111807434838,0.144567219153,10.3046339662,0.0100957225582,1.15259863957
9,frozenset([u'Plain Pre-Sliced Bagels']),"frozenset([u'Sliced Blueberry Bagels', u'Presliced Everything Bagels'])",0.0793334282866,0.0170915823957,0.0111807434838,0.140933572711,8.24578845003,0.00982480965754,1.14415880586
10,"frozenset([u'Deluxe Plain Bagels', u'Deluxe Cinnamon Raisin Bagels'])",frozenset([u'Deluxe Everything Bagels']),0.0144566301097,0.0375302663438,0.00975644495086,0.674876847291,17.9822024472,0.00921388377241,2.96032357473
11,"frozenset([u'Deluxe Plain Bagels', u'Deluxe Everything Bagels'])",frozenset([u'Deluxe Cinnamon Raisin Bagels']),0.0193704600484,0.0324740065518,0.00975644495086,0.503676470588,15.5101425439,0.00912740850434,1.94938570532
12,"frozenset([u'Deluxe Cinnamon Raisin Bagels', u'Deluxe Everything Bagels'])",frozenset([u'Deluxe Plain Bagels']),0.0153824241561,0.0524141860134,0.00975644495086,0.634259259259,12.1009083132,0.00895018770981,2.59086754204
13,frozenset([u'Deluxe Plain Bagels']),"frozenset([u'Deluxe Cinnamon Raisin Bagels', u'Deluxe Everything Bagels'])",0.0524141860134,0.0153824241561,0.00975644495086,0.186141304348,12.1009083132,0.00895018770981,1.20981391623
14,frozenset([u'Deluxe Cinnamon Raisin Bagels']),"frozenset([u'Deluxe Plain Bagels', u'Deluxe Everything Bagels'])",0.0324740065518,0.0193704600484,0.00975644495086,0.300438596491,15.5101425439,0.00912740850434,1.40177764959
15,frozenset([u'Deluxe Everything Bagels']),"frozenset([u'Deluxe Plain Bagels', u'Deluxe Cinnamon Raisin Bagels'])",0.0375302663438,0.0144566301097,0.00975644495086,0.259962049336,17.9822024472,0.00921388377241,1.33174706649
16,frozenset([u'Presliced Everything Bagels']),frozenset([u'Plain Pre-Sliced Bagels']),0.0773394103404,0.0793334282866,0.0309784930922,0.400552486188,5.04897487527,0.0248428925282,1.53585852055
17,frozenset([u'Plain Pre-Sliced Bagels']),frozenset([u'Presliced Everything Bagels']),0.0793334282866,0.0773394103404,0.0309784930922,0.390484739677,5.04897487527,0.0248428925282,1.51376126197
18,frozenset([u'Cinnamon Raisin Swirl Pre-Sliced Bagels']),frozenset([u'Plain Pre-Sliced Bagels']),0.0420880216493,0.0793334282866,0.0169491525424,0.402707275804,5.07613605641,0.0136101654951,1.54139927446
19,frozenset([u'Plain Pre-Sliced Bagels']),frozenset([u'Cinnamon Raisin Swirl Pre-Sliced Bagels']),0.0793334282866,0.0420880216493,0.0169491525424,0.213644524237,5.07613605641,0.0136101654951,1.21816660261
20,frozenset([u'Plain Mini Bagels']),frozenset([u'100% Whole Wheat Bread']),0.0469306366614,0.143355647344,0.00925794046432,0.197268588771,1.37607825311,0.00253016866547,1.06716186843
21,frozenset([u'100% Whole Wheat Bread']),frozenset([u'Plain Mini Bagels']),0.143355647344,0.0469306366614,0.00925794046432,0.0645802285147,1.37607825311,0.00253016866547,1.01886809793
22,frozenset([u'Hot Dog Buns']),frozenset([u'Hamburger Buns']),0.0499216635807,0.031619427432,0.0101125195841,0.202567760342,6.40643353767,0.00853402516523,1.21437349082
23,frozenset([u'Hamburger Buns']),frozenset([u'Hot Dog Buns']),0.031619427432,0.0499216635807,0.0101125195841,0.31981981982,6.40643353767,0.00853402516523,1.39680391182
24,frozenset([u'Deluxe Plain Bagels']),frozenset([u'Deluxe Everything Bagels']),0.0524141860134,0.0375302663438,0.0193704600484,0.369565217391,9.84712482468,0.0174033416871,1.52667612925
25,frozenset([u'Deluxe Everything Bagels']),frozenset([u'Deluxe Plain Bagels']),0.0375302663438,0.0524141860134,0.0193704600484,0.516129032258,9.84712482468,0.0174033416871,1.95834401557
26,"frozenset([u'Presliced Everything Bagels', u'Plain Pre-Sliced Bagels'])",frozenset([u'100% Whole Wheat Pre-Sliced Bagels']),0.0309784930922,0.0358923230309,0.0113943882638,0.367816091954,10.2477650064,0.0102824981827,1.52504305266
27,"frozenset([u'Presliced Everything Bagels', u'100% Whole Wheat Pre-Sliced Bagels'])",frozenset([u'Plain Pre-Sliced Bagels']),0.0204386839482,0.0793334282866,0.0113943882638,0.557491289199,7.02719271358,0.00977291739651,2.08056146521
28,"frozenset([u'Plain Pre-Sliced Bagels', u'100% Whole Wheat Pre-Sliced Bagels'])",frozenset([u'Presliced Everything Bagels']),0.0163794331292,0.0773394103404,0.0113943882638,0.695652173913,8.99479541997,0.0101276125639,3.03159908031
29,frozenset([u'Presliced Everything Bagels']),"frozenset([u'Plain Pre-Sliced Bagels', u'100% Whole Wheat Pre-Sliced Bagels'])",0.0773394103404,0.0163794331292,0.0113943882638,0.147329650092,8.99479541997,0.0101276125639,1.15357660434
30,frozenset([u'Plain Pre-Sliced Bagels']),"frozenset([u'Presliced Everything Bagels', u'100% Whole Wheat Pre-Sliced Bagels'])",0.0793334282866,0.0204386839482,0.0113943882638,0.143626570916,7.02719271358,0.00977291739651,1.14384832923
31,frozenset([u'100% Whole Wheat Pre-Sliced Bagels']),"frozenset([u'Presliced Everything Bagels', u'Plain Pre-Sliced Bagels'])",0.0358923230309,0.0309784930922,0.0113943882638,0.31746031746,10.2477650064,0.0102824981827,1.41972918454
32,frozenset([u'Plain Pre-Sliced Bagels']),frozenset([u'100% Whole Wheat Pre-Sliced Bagels']),0.0793334282866,0.0358923230309,0.0163794331292,0.206463195691,5.75229403551,0.013531972094,1.21495017211
33,frozenset([u'100% Whole Wheat Pre-Sliced Bagels']),frozenset([u'Plain Pre-Sliced Bagels']),0.0358923230309,0.0793334282866,0.0163794331292,0.456349206349,5.75229403551,0.013531972094,1.69348887644
34,frozenset([u'Everything Bagels']),frozenset([u'Plain Bagels']),0.0402364335565,0.0677966101695,0.0107534539239,0.267256637168,3.94203539823,0.0080255601235,1.27220994023
35,frozenset([u'Plain Bagels']),frozenset([u'Everything Bagels']),0.0677966101695,0.0402364335565,0.0107534539239,0.158613445378,3.94203539823,0.0080255601235,1.1406927781
36,frozenset([u'Blueberry Bagels']),frozenset([u'Plain Bagels']),0.0168067226891,0.0677966101695,0.010539809144,0.627118644068,9.25,0.00940037031762,2.5
37,frozenset([u'Plain Bagels']),frozenset([u'Blueberry Bagels']),0.0677966101695,0.0168067226891,0.010539809144,0.155462184874,9.25,0.00940037031762,1.16417910448
38,frozenset([u'Cinnamon Raisin Swirl Pre-Sliced Bagels']),frozenset([u'Presliced Everything Bagels']),0.0420880216493,0.0773394103404,0.0245691496938,0.583756345178,7.54798029372,0.021314086917,2.21663580687
39,frozenset([u'Presliced Everything Bagels']),frozenset([u'Cinnamon Raisin Swirl Pre-Sliced Bagels']),0.0773394103404,0.0420880216493,0.0245691496938,0.317679558011,7.54798029372,0.021314086917,1.40390338528
40,frozenset([u'Plain Bagels']),frozenset([u'Everything Bagel']),0.0677966101695,0.0162370032759,0.0109670987039,0.161764705882,9.96271929825,0.00986628492247,1.17361199609
41,frozenset([u'Everything Bagel']),frozenset([u'Plain Bagels']),0.0162370032759,0.0677966101695,0.0109670987039,0.675438596491,9.96271929825,0.00986628492247,2.87219422813
42,frozenset([u'Deluxe Cinnamon Raisin Bagels']),frozenset([u'Deluxe Everything Bagels']),0.0324740065518,0.0375302663438,0.0153824241561,0.473684210526,12.6213921902,0.014163666041,1.82869249395
43,frozenset([u'Deluxe Everything Bagels']),frozenset([u'Deluxe Cinnamon Raisin Bagels']),0.0375302663438,0.0324740065518,0.0153824241561,0.409867172676,12.6213921902,0.014163666041,1.63950546157
44,frozenset([u'Original Nooks & Crannies English Muffins']),frozenset([u'Plain Pre-Sliced Bagels']),0.0952855718559,0.0793334282866,0.0151687793762,0.159192825112,2.0066298476,0.00760944829459,1.09497944262
45,frozenset([u'Plain Pre-Sliced Bagels']),frozenset([u'Original Nooks & Crannies English Muffins']),0.0793334282866,0.0952855718559,0.0151687793762,0.191202872531,2.0066298476,0.00760944829459,1.1185925338
46,frozenset([u'Sliced Blueberry Bagels']),frozenset([u'Presliced Everything Bagels']),0.0244979347671,0.0773394103404,0.0170915823957,0.697674418605,9.02094308107,0.0151969265662,3.05187733503
47,frozenset([u'Presliced Everything Bagels']),frozenset([u'Sliced Blueberry Bagels']),0.0773394103404,0.0244979347671,0.0170915823957,0.220994475138,9.02094308107,0.0151969265662,1.25224023977
48,frozenset([u'Presliced Everything Bagels']),frozenset([u'100% Whole Wheat Pre-Sliced Bagels']),0.0773394103404,0.0358923230309,0.0204386839482,0.264272559853,7.36292715367,0.0176627928492,1.31041418922
49,frozenset([u'100% Whole Wheat Pre-Sliced Bagels']),frozenset([u'Presliced Everything Bagels']),0.0358923230309,0.0773394103404,0.0204386839482,0.569444444444,7.36292715367,0.0176627928492,2.1429536276
50,"frozenset([u'Cinnamon Raisin Swirl Pre-Sliced Bagels', u'Presliced Everything Bagels'])",frozenset([u'100% Whole Wheat Pre-Sliced Bagels']),0.0245691496938,0.0358923230309,0.00968523002421,0.394202898551,10.9829307568,0.00880338616681,1.59146961031
51,"frozenset([u'Cinnamon Raisin Swirl Pre-Sliced Bagels', u'100% Whole Wheat Pre-Sliced Bagels'])",frozenset([u'Presliced Everything Bagels']),0.0116792479704,0.0773394103404,0.00968523002421,0.829268292683,10.7224542964,0.00878196387296,5.40415488229
52,"frozenset([u'Presliced Everything Bagels', u'100% Whole Wheat Pre-Sliced Bagels'])",frozenset([u'Cinnamon Raisin Swirl Pre-Sliced Bagels']),0.0204386839482,0.0420880216493,0.00968523002421,0.473867595819,11.2589657876,0.00882500625172,1.82066713766
53,frozenset([u'Cinnamon Raisin Swirl Pre-Sliced Bagels']),"frozenset([u'Presliced Everything Bagels', u'100% Whole Wheat Pre-Sliced Bagels'])",0.0420880216493,0.0204386839482,0.00968523002421,0.230118443316,11.2589657876,0.00882500625172,1.27235326986
54,frozenset([u'Presliced Everything Bagels']),"frozenset([u'Cinnamon Raisin Swirl Pre-Sliced Bagels', u'100% Whole Wheat Pre-Sliced Bagels'])",0.0773394103404,0.0116792479704,0.00968523002421,0.125230202578,10.7224542964,0.00878196387296,1.12980667021
55,frozenset([u'100% Whole Wheat Pre-Sliced Bagels']),"frozenset([u'Cinnamon Raisin Swirl Pre-Sliced Bagels', u'Presliced Everything Bagels'])",0.0358923230309,0.0245691496938,0.00968523002421,0.269841269841,10.9829307568,0.00880338616681,1.33591616455
56,frozenset([u'Deluxe Plain Bagels']),frozenset([u'Deluxe Blueberry Bagels']),0.0524141860134,0.0274889616864,0.0138869106965,0.264945652174,9.63825608245,0.0124460991453,1.32304644029
