,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,Icelandic Style Skyr Blueberry Non-fat Yogurt,Vanilla Skyr Nonfat Yogurt,0.0290763755227,0.0257495685936,0.0121416008495,0.417576146658,16.2168210757,0.0113928967236,1.67275159803
1,Vanilla Skyr Nonfat Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.0257495685936,0.0290763755227,0.0121416008495,0.47152637938,16.2168210757,0.0113928967236,1.83722249625
2,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% All Natural Greek Strained Yogurt with Honey,0.0434330822327,0.0314304440167,0.0109261963231,0.251563917673,8.00382958445,0.0095610752635,1.29412461378
3,Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.0314304440167,0.0434330822327,0.0109261963231,0.347630988518,8.00382958445,0.0095610752635,1.46629729636
4,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.0312831851065,0.0434330822327,0.0149001128294,0.476297818736,10.9662449509,0.0135413876781,1.82654751496
5,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach,0.0434330822327,0.0312831851065,0.0149001128294,0.343059070723,10.9662449509,0.0135413876781,1.47458739701
6,Non Fat Raspberry Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.02484734851,0.0290763755227,0.0131371540453,0.528714524207,18.183646163,0.0124146832092,2.06016029423
7,Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Raspberry Yogurt,0.0290763755227,0.02484734851,0.0131371540453,0.451815393395,18.183646163,0.0124146832092,1.77887638533
8,Organic Whole Milk,Organic Whole String Cheese,0.114961505276,0.069717760669,0.0138381894206,0.120372374973,1.72656685783,0.00582333070958,1.0575864296
9,Organic Whole String Cheese,Organic Whole Milk,0.069717760669,0.114961505276,0.0138381894206,0.198488724936,1.72656685783,0.00582333070958,1.10421215803
10,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.0327454038627,0.0434330822327,0.0171587741422,0.524005573854,12.0646646961,0.0157365403235,2.00961789723
11,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt With Blueberry,0.0434330822327,0.0327454038627,0.0171587741422,0.395062317941,12.0646646961,0.0157365403235,1.59893262533
12,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.0434330822327,0.0273486759142,0.0104470863476,0.240532925839,8.7950483085,0.00925924905771,1.28070242566
13,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.0273486759142,0.0434330822327,0.0104470863476,0.381996056423,8.7950483085,0.00925924905771,1.54783303199
14,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Lowfat Greek Strained Yogurt With Blueberry,0.0312831851065,0.0327454038627,0.0121706378177,0.389047271763,11.8809733847,0.0111462572873,1.58319056685
15,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach,0.0327454038627,0.0312831851065,0.0121706378177,0.371674689638,11.8809733847,0.0111462572873,1.54174405983
16,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.0327454038627,0.0273486759142,0.0100633835535,0.307322016722,11.2371808304,0.00916784011554,1.40418974988
17,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt With Blueberry,0.0273486759142,0.0327454038627,0.0100633835535,0.367966024572,11.2371808304,0.00916784011554,1.53038386185
