,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,Organic Sliced Peaches,Frozen Organic Wild Blueberries,0.027429556778,0.0517079572419,0.00919405171559,0.335187760779,6.4823245523,0.00777572536654,1.42640581327
1,Frozen Organic Wild Blueberries,Organic Sliced Peaches,0.0517079572419,0.027429556778,0.00919405171559,0.177807289361,6.4823245523,0.00777572536654,1.1828984016
2,Organic Whole Strawberries,Frozen Organic Wild Blueberries,0.0623364336235,0.0517079572419,0.0231644323722,0.371603427173,7.18658107946,0.0199411427278,1.50906622309
3,Frozen Organic Wild Blueberries,Organic Whole Strawberries,0.0517079572419,0.0623364336235,0.0231644323722,0.44798583444,7.18658107946,0.0199411427278,1.69862229065
4,Organic Sliced Peaches,Organic Whole Strawberries,0.027429556778,0.0623364336235,0.011597476023,0.42280945758,6.78270207329,0.00988761527756,1.62453037163
5,Organic Whole Strawberries,Organic Sliced Peaches,0.0623364336235,0.027429556778,0.011597476023,0.186046511628,6.78270207329,0.00988761527756,1.19487225882
6,Organic Frozen Mango Chunks,Organic Whole Strawberries,0.0258425337433,0.0623364336235,0.0104987677682,0.406259226454,6.51720354917,0.00888783637882,1.57924738902
7,Organic Whole Strawberries,Organic Frozen Mango Chunks,0.0623364336235,0.0258425337433,0.0104987677682,0.168421052632,6.51720354917,0.00888783637882,1.17145518094
8,Organic Frozen Mango Chunks,Frozen Organic Wild Blueberries,0.0258425337433,0.0517079572419,0.00905671318374,0.350457632123,6.77763444576,0.00772044855391,1.45993870401
9,Frozen Organic Wild Blueberries,Organic Frozen Mango Chunks,0.0517079572419,0.0258425337433,0.00905671318374,0.175151246864,6.77763444576,0.00772044855391,1.18101344344
10,Pineapple Chunks,Frozen Organic Wild Blueberries,0.0472749746305,0.0517079572419,0.0101020120095,0.213686249193,4.1325602594,0.00765751964268,1.20599702318
11,Frozen Organic Wild Blueberries,Pineapple Chunks,0.0517079572419,0.0472749746305,0.0101020120095,0.195366681422,4.1325602594,0.00765751964268,1.18404868823
12,Pineapple Chunks,Mango Chunks,0.0472749746305,0.0365167896355,0.0134210265292,0.283892834087,7.77430976053,0.0116946962256,1.34544556489
13,Mango Chunks,Pineapple Chunks,0.0365167896355,0.0472749746305,0.0134210265292,0.367530296699,7.77430976053,0.0116946962256,1.50635677946
14,Pineapple Chunks,Organic Whole Strawberries,0.0472749746305,0.0623364336235,0.0137720027773,0.291316978696,4.67330198027,0.0108250494592,1.32310714126
15,Organic Whole Strawberries,Pineapple Chunks,0.0623364336235,0.0472749746305,0.0137720027773,0.220930232558,4.67330198027,0.0108250494592,1.22290077883
