,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,India Pale Ale,805,0.210592212345,0.0225366220108,0.0115187179166,0.0546967895363,2.42701810015,0.00677268082858,1.03402100741
1,805,India Pale Ale,0.0225366220108,0.210592212345,0.0115187179166,0.511111111111,2.42701810015,0.00677268082858,1.61469774748
2,Beer,Longboard Island Lager,0.232753223989,0.0398146988857,0.0180292976086,0.0774610005379,1.94553777137,0.00876229808082,1.04080727392
3,Longboard Island Lager,Beer,0.0398146988857,0.232753223989,0.0180292976086,0.452830188679,1.94553777137,0.00876229808082,1.40220962512
4,Pinot Noir Wine,Chardonnay,0.0548391135595,0.183423062477,0.0142731939402,0.260273972603,1.41898171958,0.00421443578757,1.10389104517
5,Chardonnay,Pinot Noir Wine,0.183423062477,0.0548391135595,0.0142731939402,0.0778156996587,1.41898171958,0.00421443578757,1.02491539499
6,Red Blend,Sauvignon Blanc,0.0754976837361,0.21472392638,0.0219106047327,0.290215588723,1.35157545605,0.00569944564826,1.10635858036
7,Sauvignon Blanc,Red Blend,0.21472392638,0.0754976837361,0.0219106047327,0.102040816327,1.35157545605,0.00569944564826,1.02955939766
8,Beer,Belgium Beer,0.232753223989,0.0431951921873,0.0167772630525,0.0720817643895,1.66874507878,0.00672344281004,1.03113051462
9,Belgium Beer,Beer,0.0431951921873,0.232753223989,0.0167772630525,0.388405797101,1.66874507878,0.00672344281004,1.25450302239
10,Cabernet Sauvignon,Sauvignon Blanc,0.206585701765,0.21472392638,0.0574683861275,0.278181818182,1.29553246753,0.0131094931104,1.0879139559
11,Sauvignon Blanc,Cabernet Sauvignon,0.21472392638,0.206585701765,0.0574683861275,0.267638483965,1.29553246753,0.0131094931104,1.08336426869
12,Premium Lager Beer,India Pale Ale,0.0588456241392,0.210592212345,0.027669963691,0.470212765957,2.23281174893,0.0152775335167,1.4900468281
13,India Pale Ale,Premium Lager Beer,0.210592212345,0.0588456241392,0.027669963691,0.131391200951,2.23281174893,0.0152775335167,1.0835192746
14,"Beer, Chardonnay",India Pale Ale,0.0338049330162,0.210592212345,0.0138975835733,0.411111111111,1.95216673273,0.00677852794126,1.34050379036
15,"India Pale Ale, Chardonnay",Beer,0.0331789157381,0.232753223989,0.0138975835733,0.418867924528,1.79962243852,0.00617508396681,1.32026230937
16,Beer,"India Pale Ale, Chardonnay",0.232753223989,0.0331789157381,0.0138975835733,0.059709521248,1.79962243852,0.00617508396681,1.02821532932
17,India Pale Ale,"Beer, Chardonnay",0.210592212345,0.0338049330162,0.0138975835733,0.0659928656361,1.95216673273,0.00677852794126,1.03446219139
18,India Pale Ale,"u""Little Sumpin Sumpin Ale""",0.210592212345,0.0633529485414,0.0194065356204,0.0921521997622,1.45458422826,0.00606489802847,1.03172255439
19,"u""Little Sumpin Sumpin Ale""",India Pale Ale,0.0633529485414,0.210592212345,0.0194065356204,0.306324110672,1.45458422826,0.00606489802847,1.13800666824
20,Brown Ale,India Pale Ale,0.0360585952172,0.210592212345,0.0156504319519,0.434027777778,2.06098683776,0.00805677261107,1.39478185794
21,India Pale Ale,Brown Ale,0.210592212345,0.0360585952172,0.0156504319519,0.0743162901308,2.06098683776,0.00805677261107,1.04132912193
22,Beer,India Pale Ale Racer 5,0.232753223989,0.0232878427445,0.0108927006385,0.0467993544917,2.00960453938,0.00547238016002,1.02466585798
23,India Pale Ale Racer 5,Beer,0.0232878427445,0.232753223989,0.0108927006385,0.467741935484,2.00960453938,0.00547238016002,1.44149394281
24,Pinot Noir,Chardonnay,0.145611618881,0.183423062477,0.0344309502942,0.236457437661,1.28913689734,0.00772242122697,1.06945830894
25,Chardonnay,Pinot Noir,0.183423062477,0.145611618881,0.0344309502942,0.18771331058,1.28913689734,0.00772242122697,1.05183107424
26,Pinot Noir,Cabernet Sauvignon Wine,0.145611618881,0.0598472517841,0.0137723801177,0.0945829750645,1.58040632184,0.00505792489984,1.03836433635
27,Cabernet Sauvignon Wine,Pinot Noir,0.0598472517841,0.145611618881,0.0137723801177,0.230125523013,1.58040632184,0.00505792489984,1.10977621243
28,Sauvignon Blanc,Pinot Grigio Wine,0.21472392638,0.0409415299862,0.0112683110054,0.0524781341108,1.28178243775,0.00247718493472,1.01217555451
29,Pinot Grigio Wine,Sauvignon Blanc,0.0409415299862,0.21472392638,0.0112683110054,0.275229357798,1.28178243775,0.00247718493472,1.08348217753
30,"u""Brewmasters Seasonal Sampler""",India Pale Ale,0.0380618505071,0.210592212345,0.0190309252535,0.5,2.3742568371,0.0110153959493,1.57881557531
31,India Pale Ale,"u""Brewmasters Seasonal Sampler""",0.210592212345,0.0380618505071,0.0190309252535,0.090368608799,2.3742568371,0.0110153959493,1.0575032467
32,"Beer, Variety Pack Hard Cider",India Pale Ale,0.0241642669338,0.210592212345,0.0157756354075,0.652849740933,3.10006592201,0.0106868289743,2.27396571668
33,"Beer, India Pale Ale",Variety Pack Hard Cider,0.0925253536998,0.0590960310505,0.0157756354075,0.17050067659,2.88514598289,0.0103077542323,1.1343034797
34,"Variety Pack Hard Cider, India Pale Ale",Beer,0.0329285088268,0.232753223989,0.0157756354075,0.479087452471,2.05834937218,0.00811141881694,1.47288979628
35,Beer,"Variety Pack Hard Cider, India Pale Ale",0.232753223989,0.0329285088268,0.0157756354075,0.0677783754707,2.05834937218,0.00811141881694,1.03738367114
36,Variety Pack Hard Cider,"Beer, India Pale Ale",0.0590960310505,0.0925253536998,0.0157756354075,0.266949152542,2.88514598289,0.0103077542323,1.23794229206
37,India Pale Ale,"Beer, Variety Pack Hard Cider",0.210592212345,0.0241642669338,0.0157756354075,0.0749108204518,3.10006592201,0.0106868289743,1.05485585027
38,California Red Wine,Chardonnay,0.0500813822461,0.183423062477,0.0122699386503,0.245,1.33570989761,0.00308385814566,1.08155885765
39,Chardonnay,California Red Wine,0.183423062477,0.0500813822461,0.0122699386503,0.0668941979522,1.33570989761,0.00308385814566,1.01801812364
