,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,Organic Stage 2 Peaches & Bananas Baby Food,0.0843247953925,0.0473628372234,0.0172211276144,0.204223769939,4.31189898899,0.0132272660564,1.19711688637
1,Organic Stage 2 Peaches & Bananas Baby Food,Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,0.0473628372234,0.0843247953925,0.0172211276144,0.3636,4.31189898899,0.0132272660564,1.43883595947
2,"Spinach Peas & Pear Stage 2 Baby Food, Apple and Carrot Stage 2 Baby Food",Baby Food Stage 2 Blueberry Pear & Purple Carrot,0.0224878751137,0.126837678084,0.0110450136405,0.491154170177,3.87230496171,0.00819270377603,1.71596635118
3,"Spinach Peas & Pear Stage 2 Baby Food, Baby Food Stage 2 Blueberry Pear & Purple Carrot",Apple and Carrot Stage 2 Baby Food,0.0442937253713,0.0642618975447,0.0110450136405,0.249358426005,3.88034644996,0.00819861479881,1.24658443507
4,"Apple and Carrot Stage 2 Baby Food, Baby Food Stage 2 Blueberry Pear & Purple Carrot",Spinach Peas & Pear Stage 2 Baby Food,0.0263147923613,0.117706123068,0.0110450136405,0.419726421886,3.56588434779,0.00794760145232,1.5204791502
5,Spinach Peas & Pear Stage 2 Baby Food,"Apple and Carrot Stage 2 Baby Food, Baby Food Stage 2 Blueberry Pear & Purple Carrot",0.117706123068,0.0263147923613,0.0110450136405,0.0938355061967,3.56588434779,0.00794760145232,1.07451264566
6,Apple and Carrot Stage 2 Baby Food,"Spinach Peas & Pear Stage 2 Baby Food, Baby Food Stage 2 Blueberry Pear & Purple Carrot",0.0642618975447,0.0442937253713,0.0110450136405,0.171875,3.88034644996,0.00819861479881,1.1540604071
7,Baby Food Stage 2 Blueberry Pear & Purple Carrot,"Spinach Peas & Pear Stage 2 Baby Food, Apple and Carrot Stage 2 Baby Food",0.126837678084,0.0224878751137,0.0110450136405,0.0870799103809,3.87230496171,0.00819270377603,1.07075321926
8,Pumpkin & Spinach Stage 2 Baby Food,Squash & Sweet Peas Stage 2,0.0334760533495,0.0400310700212,0.0128069111852,0.382569326542,9.55680990639,0.0114668289495,1.55478010932
9,Squash & Sweet Peas Stage 2,Pumpkin & Spinach Stage 2 Baby Food,0.0400310700212,0.0334760533495,0.0128069111852,0.319924278277,9.55680990639,0.0114668289495,1.42120048662
10,"Apples, Guavas & Beets Organic Baby Food","Apples, Kale & Avocados Organic Baby Food",0.0274893907245,0.0432517429524,0.0106661109427,0.388008270159,8.97092795972,0.00947714688118,1.56333527137
11,"Apples, Kale & Avocados Organic Baby Food","Apples, Guavas & Beets Organic Baby Food",0.0432517429524,0.0274893907245,0.0106661109427,0.246605343846,8.97092795972,0.00947714688118,1.29083820987
12,"Spinach Peas & Pear Stage 2 Baby Food, Baby Food Stage 2 Pumpkin Banana",Broccoli & Apple Stage 2 Baby Food,0.0245907850864,0.0955782055168,0.010438769324,0.424499229584,4.44138103753,0.00808842621323,1.57153880755
13,"Spinach Peas & Pear Stage 2 Baby Food, Broccoli & Apple Stage 2 Baby Food",Baby Food Stage 2 Pumpkin Banana,0.0404289178539,0.0714231585329,0.010438769324,0.258200562324,3.61508182539,0.00755120831485,1.25178962709
14,"Baby Food Stage 2 Pumpkin Banana, Broccoli & Apple Stage 2 Baby Food",Spinach Peas & Pear Stage 2 Baby Food,0.0198734464989,0.117706123068,0.010438769324,0.525262154433,4.46248793813,0.00809954298466,1.8584864998
15,Spinach Peas & Pear Stage 2 Baby Food,"Baby Food Stage 2 Pumpkin Banana, Broccoli & Apple Stage 2 Baby Food",0.117706123068,0.0198734464989,0.010438769324,0.0886850152905,4.46248793813,0.00809954298466,1.07550799663
16,Baby Food Stage 2 Pumpkin Banana,"Spinach Peas & Pear Stage 2 Baby Food, Broccoli & Apple Stage 2 Baby Food",0.0714231585329,0.0404289178539,0.010438769324,0.146153846154,3.61508182539,0.00755120831485,1.1238219881
17,Broccoli & Apple Stage 2 Baby Food,"Spinach Peas & Pear Stage 2 Baby Food, Baby Food Stage 2 Pumpkin Banana",0.0955782055168,0.0245907850864,0.010438769324,0.109217046581,4.44138103753,0.00808842621323,1.09500211154
18,Organic Apple & Butternut Squash Baby Food,Organic Stage 4 Green Bean Pear & Pea Baby Food,0.0326614125493,0.0580857835708,0.0119354349803,0.365429234339,6.29119918635,0.0100382712398,1.4843328237
19,Organic Stage 4 Green Bean Pear & Pea Baby Food,Organic Apple & Butternut Squash Baby Food,0.0580857835708,0.0326614125493,0.0119354349803,0.205479452055,6.29119918635,0.0100382712398,1.21751236007
20,Stage 2 Sweet Potato Corn & Apple Baby Food,"Peach,  Apricot & Banana Stage 2 Baby Food",0.0474765080327,0.0766520157624,0.0120680509245,0.254189944134,3.31615472347,0.00842888088246,1.23804710995
21,"Peach,  Apricot & Banana Stage 2 Baby Food",Stage 2 Sweet Potato Corn & Apple Baby Food,0.0766520157624,0.0474765080327,0.0120680509245,0.157439446367,3.31615472347,0.00842888088246,1.13051042784
22,Organic Stage 3 Pear Carrot Apricot Baby Food,Baby Food Stage 2 Blueberry Pear & Purple Carrot,0.0456009396787,0.126837678084,0.0101735374356,0.223099293727,1.75893549217,0.00438962012828,1.12390465714
23,Baby Food Stage 2 Blueberry Pear & Purple Carrot,Organic Stage 3 Pear Carrot Apricot Baby Food,0.126837678084,0.0456009396787,0.0101735374356,0.0802091112771,1.75893549217,0.00438962012828,1.03762613005
