,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,Asian Vegetable Ramen,Organic Lemongrass Ginger Ramen,0.0982532751092,0.0558951965066,0.0288209606987,0.293333333333,5.24791666667,0.0233290745791,1.33599736343
1,Organic Lemongrass Ginger Ramen,Asian Vegetable Ramen,0.0558951965066,0.0982532751092,0.0288209606987,0.515625,5.24791666667,0.0233290745791,1.86167065784
2,Spinach Dal Indian Cuisine,Bombay Potatoes Vegetarian,0.0384279475983,0.0349344978166,0.0100436681223,0.261363636364,7.48153409091,0.0087012070708,1.30655021834
3,Bombay Potatoes Vegetarian,Spinach Dal Indian Cuisine,0.0349344978166,0.0384279475983,0.0100436681223,0.2875,7.48153409091,0.0087012070708,1.34957481039
4,Madras Lentils Indian Cuisine,Punjab Eggplant,0.0458515283843,0.0331877729258,0.0135371179039,0.295238095238,8.89598997494,0.0120154077916,1.37182816004
5,Punjab Eggplant,Madras Lentils Indian Cuisine,0.0331877729258,0.0458515283843,0.0135371179039,0.407894736842,8.89598997494,0.0120154077916,1.61145075206
6,"Mushroom Ramen, Asian Vegetable Ramen",Seaweed Ramen,0.0510917030568,0.061135371179,0.02096069869,0.410256410256,6.71062271062,0.0178371884594,1.59198784887
7,"Mushroom Ramen, Seaweed Ramen",Asian Vegetable Ramen,0.0331877729258,0.0982532751092,0.02096069869,0.631578947368,6.42807017544,0.0176998913064,2.44759825328
8,"Asian Vegetable Ramen, Seaweed Ramen",Mushroom Ramen,0.0366812227074,0.0864628820961,0.02096069869,0.571428571429,6.60894660895,0.0177891344559,2.13158660844
9,Mushroom Ramen,"Asian Vegetable Ramen, Seaweed Ramen",0.0864628820961,0.0366812227074,0.02096069869,0.242424242424,6.60894660895,0.0177891344559,1.27158078603
10,Asian Vegetable Ramen,"Mushroom Ramen, Seaweed Ramen",0.0982532751092,0.0331877729258,0.02096069869,0.213333333333,6.42807017544,0.0176998913064,1.22899859374
11,Seaweed Ramen,"Mushroom Ramen, Asian Vegetable Ramen",0.061135371179,0.0510917030568,0.02096069869,0.342857142857,6.71062271062,0.0178371884594,1.44399088665
12,Tikka Masala Simmer Sauce,Lemongrass Basil Simmer Sauce,0.0235807860262,0.017903930131,0.0100436681223,0.425925925926,23.7895212285,0.00962147937682,1.71074799268
13,Lemongrass Basil Simmer Sauce,Tikka Masala Simmer Sauce,0.017903930131,0.0235807860262,0.0100436681223,0.560975609756,23.7895212285,0.00962147937682,2.22406598738
14,Garlic Pepper Ramen,Seaweed Ramen,0.0842794759825,0.061135371179,0.0262008733624,0.310880829016,5.08512213175,0.0210484163155,1.36241258167
15,Seaweed Ramen,Garlic Pepper Ramen,0.061135371179,0.0842794759825,0.0262008733624,0.428571428571,5.08512213175,0.0210484163155,1.60251091703
16,Tofu Miso Ramen,Garlic Pepper Ramen,0.101746724891,0.0842794759825,0.0528384279476,0.519313304721,6.16180035135,0.0442632672909,1.905025733
17,Garlic Pepper Ramen,Tofu Miso Ramen,0.0842794759825,0.101746724891,0.0528384279476,0.626943005181,6.16180035135,0.0442632672909,2.40781780689
18,Madras Lentils Indian Cuisine,Bombay Potatoes Vegetarian,0.0458515283843,0.0349344978166,0.0144104803493,0.314285714286,8.99642857143,0.0128086802311,1.40738719068
19,Bombay Potatoes Vegetarian,Madras Lentils Indian Cuisine,0.0349344978166,0.0458515283843,0.0144104803493,0.4125,8.99642857143,0.0128086802311,1.62408250488
20,"Tofu Miso Ramen, Asian Vegetable Ramen",Organic Lemongrass Ginger Ramen,0.0620087336245,0.0558951965066,0.02096069869,0.338028169014,6.04753521127,0.0174947083389,1.42620087336
21,"Tofu Miso Ramen, Organic Lemongrass Ginger Ramen",Asian Vegetable Ramen,0.0349344978166,0.0982532751092,0.02096069869,0.6,6.10666666667,0.0175282698652,2.25436681223
22,"Asian Vegetable Ramen, Organic Lemongrass Ginger Ramen",Tofu Miso Ramen,0.0288209606987,0.101746724891,0.02096069869,0.727272727273,7.14787358564,0.0180282603307,3.29359534207
23,Tofu Miso Ramen,"Asian Vegetable Ramen, Organic Lemongrass Ginger Ramen",0.101746724891,0.0288209606987,0.02096069869,0.206008583691,7.14787358564,0.0180282603307,1.22316062788
24,Asian Vegetable Ramen,"Tofu Miso Ramen, Organic Lemongrass Ginger Ramen",0.0982532751092,0.0349344978166,0.02096069869,0.213333333333,6.10666666667,0.0175282698652,1.22677818074
25,Organic Lemongrass Ginger Ramen,"Tofu Miso Ramen, Asian Vegetable Ramen",0.0558951965066,0.0620087336245,0.02096069869,0.375,6.04753521127,0.0174947083389,1.5007860262
26,"Mushroom Ramen, Tofu Miso Ramen",Organic Lemongrass Ginger Ramen,0.0545851528384,0.0558951965066,0.0174672489083,0.32,5.725,0.0144162010641,1.3883894169
27,"Mushroom Ramen, Organic Lemongrass Ginger Ramen",Tofu Miso Ramen,0.0240174672489,0.101746724891,0.0174672489083,0.727272727273,7.14787358564,0.0150235502755,3.29359534207
28,"Tofu Miso Ramen, Organic Lemongrass Ginger Ramen",Mushroom Ramen,0.0349344978166,0.0864628820961,0.0174672489083,0.5,5.78282828283,0.0144467115425,1.82707423581
29,Mushroom Ramen,"Tofu Miso Ramen, Organic Lemongrass Ginger Ramen",0.0864628820961,0.0349344978166,0.0174672489083,0.20202020202,5.78282828283,0.0144467115425,1.20938588248
30,Tofu Miso Ramen,"Mushroom Ramen, Organic Lemongrass Ginger Ramen",0.101746724891,0.0240174672489,0.0174672489083,0.171673819742,7.14787358564,0.0150235502755,1.17825870534
31,Organic Lemongrass Ginger Ramen,"Mushroom Ramen, Tofu Miso Ramen",0.0558951965066,0.0545851528384,0.0174672489083,0.3125,5.725,0.0144162010641,1.3751488686
32,Garlic Pepper Ramen,Organic Lemongrass Ginger Ramen,0.0842794759825,0.0558951965066,0.0262008733624,0.310880829016,5.56185233161,0.0214900554909,1.37001674492
33,Organic Lemongrass Ginger Ramen,Garlic Pepper Ramen,0.0558951965066,0.0842794759825,0.0262008733624,0.46875,5.56185233161,0.0214900554909,1.72370922168
34,Mushroom Ramen,Asian Vegetable Ramen,0.0864628820961,0.0982532751092,0.0510917030568,0.590909090909,6.01414141414,0.0425964417155,2.20426977196
35,Asian Vegetable Ramen,Mushroom Ramen,0.0982532751092,0.0864628820961,0.0510917030568,0.52,6.01414141414,0.0425964417155,1.90320232897
36,Spinach Dal Indian Cuisine,Channa Masala Indian Cuisine,0.0384279475983,0.0572052401747,0.0222707423581,0.579545454545,10.1309854268,0.0200724623863,2.24232267202
37,Channa Masala Indian Cuisine,Spinach Dal Indian Cuisine,0.0572052401747,0.0384279475983,0.0222707423581,0.389312977099,10.1309854268,0.0200724623863,1.57457423581
38,"Tofu Miso Ramen, Garlic Pepper Ramen, Asian Vegetable Ramen",Seaweed Ramen,0.0384279475983,0.061135371179,0.0117903930131,0.306818181818,5.01866883117,0.00944108617303,1.35442766125
39,"Tofu Miso Ramen, Garlic Pepper Ramen, Seaweed Ramen",Asian Vegetable Ramen,0.0144104803493,0.0982532751092,0.0117903930131,0.818181818182,8.32727272727,0.0103745161229,4.9596069869
40,"Tofu Miso Ramen, Asian Vegetable Ramen, Seaweed Ramen",Garlic Pepper Ramen,0.0222707423581,0.0842794759825,0.0117903930131,0.529411764706,6.28162145687,0.00991342651742,1.94590611354
41,"Garlic Pepper Ramen, Asian Vegetable Ramen, Seaweed Ramen",Tofu Miso Ramen,0.0187772925764,0.101746724891,0.0117903930131,0.627906976744,6.1712745783,0.00987986499113,2.41405567686
42,"Tofu Miso Ramen, Garlic Pepper Ramen","Asian Vegetable Ramen, Seaweed Ramen",0.0528384279476,0.0366812227074,0.0117903930131,0.223140495868,6.08323494687,0.00985221487004,1.24001672396
43,"Tofu Miso Ramen, Asian Vegetable Ramen","Garlic Pepper Ramen, Seaweed Ramen",0.0620087336245,0.0262008733624,0.0117903930131,0.19014084507,7.25704225352,0.010165710036,1.20243022594
44,"Tofu Miso Ramen, Seaweed Ramen","Garlic Pepper Ramen, Asian Vegetable Ramen",0.0331877729258,0.0541484716157,0.0117903930131,0.355263157895,6.56090831919,0.00999332583284,1.46703502362
45,"Garlic Pepper Ramen, Asian Vegetable Ramen","Tofu Miso Ramen, Seaweed Ramen",0.0541484716157,0.0331877729258,0.0117903930131,0.217741935484,6.56090831919,0.00999332583284,1.23592490884
46,"Garlic Pepper Ramen, Seaweed Ramen","Tofu Miso Ramen, Asian Vegetable Ramen",0.0262008733624,0.0620087336245,0.0117903930131,0.45,7.25704225352,0.010165710036,1.70543866614
47,"Asian Vegetable Ramen, Seaweed Ramen","Tofu Miso Ramen, Garlic Pepper Ramen",0.0366812227074,0.0528384279476,0.0117903930131,0.321428571429,6.08323494687,0.00985221487004,1.39581705355
48,Tofu Miso Ramen,"Garlic Pepper Ramen, Asian Vegetable Ramen, Seaweed Ramen",0.101746724891,0.0187772925764,0.0117903930131,0.115879828326,6.1712745783,0.00987986499113,1.10982956713
49,Garlic Pepper Ramen,"Tofu Miso Ramen, Asian Vegetable Ramen, Seaweed Ramen",0.0842794759825,0.0222707423581,0.0117903930131,0.139896373057,6.28162145687,0.00991342651742,1.13675751039
50,Asian Vegetable Ramen,"Tofu Miso Ramen, Garlic Pepper Ramen, Seaweed Ramen",0.0982532751092,0.0144104803493,0.0117903930131,0.12,8.32727272727,0.0103745161229,1.11998809051
51,Seaweed Ramen,"Tofu Miso Ramen, Garlic Pepper Ramen, Asian Vegetable Ramen",0.061135371179,0.0384279475983,0.0117903930131,0.192857142857,5.01866883117,0.00944108617303,1.19132820652
52,Madras Lentils Indian Cuisine,Indian Cuisine Bengal Lentils,0.0458515283843,0.0323144104803,0.0183406113537,0.4,12.3783783784,0.0168589462444,1.61280931587
53,Indian Cuisine Bengal Lentils,Madras Lentils Indian Cuisine,0.0323144104803,0.0458515283843,0.0183406113537,0.567567567568,12.3783783784,0.0168589462444,2.20646834061
54,Spinach Dal Indian Cuisine,Madras Lentils Indian Cuisine,0.0384279475983,0.0458515283843,0.0170305676856,0.443181818182,9.66558441558,0.0152685875555,1.71357276535
55,Madras Lentils Indian Cuisine,Spinach Dal Indian Cuisine,0.0458515283843,0.0384279475983,0.0170305676856,0.371428571429,9.66558441558,0.0152685875555,1.52977371973
56,Spinach Dal Indian Cuisine,Indian Cuisine Bengal Lentils,0.0384279475983,0.0323144104803,0.0148471615721,0.386363636364,11.9563882064,0.0136053850994,1.57696910885
57,Indian Cuisine Bengal Lentils,Spinach Dal Indian Cuisine,0.0323144104803,0.0384279475983,0.0148471615721,0.459459459459,11.9563882064,0.0136053850994,1.77890829694
58,"Tofu Miso Ramen, Garlic Pepper Ramen",Organic Lemongrass Ginger Ramen,0.0528384279476,0.0558951965066,0.0174672489083,0.330578512397,5.91425619835,0.0145138345951,1.41032939781
59,"Tofu Miso Ramen, Organic Lemongrass Ginger Ramen",Garlic Pepper Ramen,0.0349344978166,0.0842794759825,0.0174672489083,0.5,5.93264248705,0.0145229877386,1.83144104803
60,"Garlic Pepper Ramen, Organic Lemongrass Ginger Ramen",Tofu Miso Ramen,0.0262008733624,0.101746724891,0.0174672489083,0.666666666667,6.55221745351,0.0148013958544,2.69475982533
61,Tofu Miso Ramen,"Garlic Pepper Ramen, Organic Lemongrass Ginger Ramen",0.101746724891,0.0262008733624,0.0174672489083,0.171673819742,6.55221745351,0.0148013958544,1.17562277983
62,Garlic Pepper Ramen,"Tofu Miso Ramen, Organic Lemongrass Ginger Ramen",0.0842794759825,0.0349344978166,0.0174672489083,0.20725388601,5.93264248705,0.0145229877386,1.21737020864
63,Organic Lemongrass Ginger Ramen,"Tofu Miso Ramen, Garlic Pepper Ramen",0.0558951965066,0.0528384279476,0.0174672489083,0.3125,5.91425619835,0.0145138345951,1.37768955935
64,Jodhpur Lentils,Indian Cuisine Bengal Lentils,0.0353711790393,0.0323144104803,0.0135371179039,0.382716049383,11.8435101768,0.0123941191053,1.56765065502
65,Indian Cuisine Bengal Lentils,Jodhpur Lentils,0.0323144104803,0.0353711790393,0.0135371179039,0.418918918919,11.8435101768,0.0123941191053,1.66005890119
66,"Mushroom Ramen, Tofu Miso Ramen",Garlic Pepper Ramen,0.0545851528384,0.0842794759825,0.0292576419214,0.536,6.35979274611,0.0246572338437,1.97353561211
67,"Mushroom Ramen, Garlic Pepper Ramen",Tofu Miso Ramen,0.0423580786026,0.101746724891,0.0292576419214,0.690721649485,6.7886376709,0.0249478461509,2.90435225619
68,"Tofu Miso Ramen, Garlic Pepper Ramen",Mushroom Ramen,0.0528384279476,0.0864628820961,0.0292576419214,0.553719008264,6.40412388346,0.0246890791556,2.04699983827
69,Mushroom Ramen,"Tofu Miso Ramen, Garlic Pepper Ramen",0.0864628820961,0.0528384279476,0.0292576419214,0.338383838384,6.40412388346,0.0246890791556,1.43158771959
70,Tofu Miso Ramen,"Mushroom Ramen, Garlic Pepper Ramen",0.101746724891,0.0423580786026,0.0292576419214,0.287553648069,6.7886376709,0.0249478461509,1.3441600463
71,Garlic Pepper Ramen,"Mushroom Ramen, Tofu Miso Ramen",0.0842794759825,0.0545851528384,0.0292576419214,0.347150259067,6.35979274611,0.0246572338437,1.44813544049
72,Indian Cuisine Bengal Lentils,Bombay Potatoes Vegetarian,0.0323144104803,0.0349344978166,0.0117903930131,0.364864864865,10.4442567568,0.0106615053107,1.51946483322
73,Bombay Potatoes Vegetarian,Indian Cuisine Bengal Lentils,0.0349344978166,0.0323144104803,0.0117903930131,0.3375,10.4442567568,0.0106615053107,1.46065749361
74,"Tofu Miso Ramen, Asian Vegetable Ramen",Seaweed Ramen,0.0620087336245,0.061135371179,0.0222707423581,0.359154929577,5.87474849095,0.0184798154116,1.46504150871
75,"Tofu Miso Ramen, Seaweed Ramen",Asian Vegetable Ramen,0.0331877729258,0.0982532751092,0.0222707423581,0.671052631579,6.8298245614,0.0190099349745,2.74131004367
76,"Asian Vegetable Ramen, Seaweed Ramen",Tofu Miso Ramen,0.0366812227074,0.101746724891,0.0222707423581,0.607142857143,5.96719803801,0.0185385480826,2.2864628821
77,Tofu Miso Ramen,"Asian Vegetable Ramen, Seaweed Ramen",0.101746724891,0.0366812227074,0.0222707423581,0.218884120172,5.96719803801,0.0185385480826,1.23325975335
78,Asian Vegetable Ramen,"Tofu Miso Ramen, Seaweed Ramen",0.0982532751092,0.0331877729258,0.0222707423581,0.226666666667,6.8298245614,0.0190099349745,1.25018822466
79,Seaweed Ramen,"Tofu Miso Ramen, Asian Vegetable Ramen",0.061135371179,0.0620087336245,0.0222707423581,0.364285714286,5.87474849095,0.0184798154116,1.47549187969
80,Madras Lentils Indian Cuisine,Jaipur Vegetables,0.0458515283843,0.0183406113537,0.0100436681223,0.219047619048,11.9433106576,0.0092027230602,1.25700287571
81,Jaipur Vegetables,Madras Lentils Indian Cuisine,0.0183406113537,0.0458515283843,0.0100436681223,0.547619047619,11.9433106576,0.0092027230602,2.10917030568
82,Spinach Dal Indian Cuisine,Punjab Eggplant,0.0384279475983,0.0331877729258,0.0126637554585,0.329545454545,9.92972488038,0.0113884174596,1.44202501665
83,Punjab Eggplant,Spinach Dal Indian Cuisine,0.0331877729258,0.0384279475983,0.0126637554585,0.381578947368,9.92972488038,0.0113884174596,1.55488246771
84,Mushroom Ramen,Garlic Pepper Ramen,0.0864628820961,0.0842794759825,0.0423580786026,0.489898989899,5.81279112367,0.0350710322076,1.79517488867
85,Garlic Pepper Ramen,Mushroom Ramen,0.0842794759825,0.0864628820961,0.0423580786026,0.502590673575,5.81279112367,0.0350710322076,1.83659024745
86,Punjab Eggplant,Jodhpur Lentils,0.0331877729258,0.0353711790393,0.0117903930131,0.355263157895,10.0438596491,0.010616502355,1.49615898761
87,Jodhpur Lentils,Punjab Eggplant,0.0353711790393,0.0331877729258,0.0117903930131,0.333333333333,10.0438596491,0.010616502355,1.45021834061
